model,threshold,accuracy,precision,recall,specificity,f1_score,roc_auc,pr_auc,TP,FP,TN,FN,predicted_positive_count,predicted_positive_ratio,youden_j
CatBoost,0.2,0.9922648476824152,0.38923212709620475,0.06609712230215828,0.9992210128409054,0.11300448430493273,0.8439528729654308,0.09477537081883369,441,692,887641,6231,1133,0.0012659147155602484,0.06531813514306362
CatBoost,0.205,0.9922838419897095,0.3930530164533821,0.0644484412470024,0.9992525325525451,0.11073911923770281,0.8439528729654308,0.09477537081883369,430,664,887669,6242,1094,0.0012223395400025698,0.06370097379954753
CatBoost,0.21,0.9923039536091978,0.3983050847457627,0.06339928057553956,0.9992806751522233,0.10938712179984483,0.8439528729654308,0.09477537081883369,423,639,887694,6249,1062,0.0011865855498013978,0.06267995572776286
CatBoost,0.215,0.9923229479164921,0.4027370478983382,0.06175059952038369,0.999312194863863,0.10708252111760883,0.8439528729654308,0.09477537081883369,412,611,887722,6260,1023,0.0011430103742437192,0.06106279438424678
CatBoost,0.22,0.9923542326579181,0.4124872057318321,0.06040167865707434,0.9993538459113869,0.10537325140541247,0.8439528729654308,0.09477537081883369,403,574,887759,6269,977,0.0010916140133295344,0.059755524568461116
CatBoost,0.225,0.9923676404042435,0.416403785488959,0.05935251798561151,0.9993752342871424,0.10389610389610389,0.8439528729654308,0.09477537081883369,396,555,887778,6276,951,0.0010625638962910822,0.05872775227275384
CatBoost,0.23,0.9923855173993441,0.42202835332606325,0.05800359712230216,0.9994033768868206,0.10198972196600341,0.8439528729654308,0.09477537081883369,387,530,887803,6285,917,0.0010245752817023368,0.05740697400912276
CatBoost,0.235,0.9924078636432199,0.43050847457627117,0.05710431654676259,0.999432645190486,0.10083366415244144,0.8439528729654308,0.09477537081883369,381,504,887829,6291,885,0.0009888212915011648,0.05653696173724865
CatBoost,0.24,0.9924190367651577,0.4343786295005807,0.05605515587529976,0.9994517821582672,0.09929642904553299,0.8439528729654308,0.09477537081883369,374,487,887846,6298,861,0.0009620057988502858,0.0555069380335671
CatBoost,0.245,0.9924380310724521,0.4423076923076923,0.05515587529976019,0.9994776733499713,0.09808102345415777,0.8439528729654308,0.09477537081883369,368,464,887869,6304,832,0.0009296037452304736,0.05463354864973158
CatBoost,0.25,0.9924626119407154,0.45375,0.05440647482014389,0.9995080673576238,0.0971627408993576,0.8439528729654308,0.09477537081883369,363,437,887896,6309,800,0.0008938497550293015,0.05391454217776759
