rank,feature,mean_abs_shap,prediction_values_change,importance_share,cumulative_importance_share
57,active_weeks,0.021696120253520888,0.627818543289363,0.006136349730734606,0.8415496952476146
58,module_presentation_length,0.021598643111078848,0.9025356430730339,0.006108780108618416,0.847658475356233
59,assessment_late_count,0.021003855854313327,0.5094381245975128,0.005940555440786148,0.8535990307970192
60,assessment_submitted_cma_count,0.02050834368096298,0.6661496570007075,0.005800408909702063,0.8593994397067212
61,cum_other_clicks,0.020426645416219323,0.5787976987230878,0.005777302053775604,0.8651767417604967
62,assessment_nonbanked_submitted_count,0.02028127163644695,0.5782826326645358,0.005736185746162159,0.8709129275066589
63,pre_course_interaction_rows,0.019358486519468143,0.5378086611310715,0.005475192898688432,0.8763881204053474
64,log1p_pre_course_clicks,0.01743623999703458,0.49473135215031006,0.004931520721704323,0.8813196411270517
65,registration_day,0.017280892939566566,0.2932686776012734,0.004887583655393605,0.8862072247824454
66,any_known_scored_count,0.016970170027255618,0.5404162849315715,0.004799701377962784,0.8910069261604082
67,vle_week_clicks_homepage,0.01668243125098685,0.8449410341079814,0.004718319741907729,0.895725245902316
68,region,0.016357101634517212,0.783699207597475,0.004626306226076507,0.9003515521283925
69,vle_cum_unique_sites,0.016271115039350137,0.5456438374870015,0.004601986494533046,0.9049535386229255
70,vle_last_active_day,0.016091893121174077,0.7474257646558389,0.004551296861709734,0.9095048354846352
71,vle_week_clicks_quiz,0.015796958592814804,0.1069512676087987,0.004467880039138054,0.9139727155237732
72,assessment_due_count,0.015664434174516677,0.7989659218348789,0.0044303979377744475,0.9184031134615477
73,click_change,0.015628457461878558,0.3444479873732949,0.004420222584378081,0.9228233360459258
74,assessment_submitted_due_count,0.014571475712671528,0.4399024731083152,0.004121274680497184,0.926944610726423
75,vle_week_clicks_forumng,0.014053662475232884,0.7611202931561712,0.003974820702412702,0.9309194314288357
76,cum_forumng_share,0.013701662263877774,0.5740067044679505,0.0038752638979274883,0.9347946953267632
77,current_other_clicks,0.013218189058933998,0.21860493442675186,0.0037385223682757673,0.938533217695039
78,cum_oucontent_clicks,0.012682878844539853,0.3024029231290918,0.0035871196911347277,0.9421203373861736
79,assessment_due_cma_count,0.011536413923776585,0.4648141380482838,0.003262863113202059,0.9453832004993756
80,current_oucontent_clicks,0.010840245328858996,0.20191759028674525,0.0030659645930956733,0.9484491650924713
81,cum_resource_clicks,0.010525904829979164,0.20878359231139532,0.002977059147646402,0.9514262242401178
82,vle_week_clicks_dualpane,0.01046662499021034,0.1480236844541203,0.0029602929320948273,0.9543865171722127
83,vle_cum_interaction_rows,0.010256411729993954,0.2316051838405715,0.002900837966522523,0.9572873551387352
84,cum_activity_type_week_count,0.009896866387760071,0.2354782852825582,0.002799147160137647,0.9600865022988728
85,cum_avg_clicks_per_site_week,0.009507795245417594,0.42608553880503985,0.002689105522662743,0.9627756078215356
86,cum_resource_share,0.008301986610340801,0.4539354752612219,0.0023480646634349202,0.9651236724849706
87,vle_week_clicks_oucontent,0.007516479160079564,0.17446278740801668,0.0021258982864708936,0.9672495707714415
88,current_resource_clicks,0.007430973463590935,0.17307603074349318,0.002101714568299479,0.9693512853397409
89,current_forumng_clicks,0.007340529825455776,0.18926846049463752,0.00207613424388976,0.9714274195836307
90,cum_other_share,0.007266958857514035,0.1907480820700832,0.002055326044818042,0.9734827456284487
91,click_change_rate,0.006836318009519708,0.18840142613940047,0.0019335271784421764,0.9754162728068909
92,cum_forumng_clicks,0.00675217462641497,0.20298280899638146,0.0019097287656280664,0.977326001572519
93,vle_cum_active_days,0.006713816967358106,0.1425498577830667,0.0018988800052010958,0.9792248815777201
94,age_band,0.005963521681910761,0.12033351797808298,0.001686672743302319,0.9809115543210225
95,vle_week_clicks_page,0.005815398259959156,0.16474076557776574,0.0016447787498238898,0.9825563330708464
96,cum_avg_clicks_per_active_day,0.005762338341124042,0.20665998544908398,0.0016297717248419088,0.9841861047956884
97,vle_week_clicks_externalquiz,0.005490540840434126,0.21868496462129153,0.0015528987862388772,0.9857390035819272
98,current_quiz_clicks,0.005478834395140597,0.14784595496045583,0.0015495878328709287,0.9872885914147982
99,log1p_cum_total_clicks,0.005223059453113606,0.19487102988062452,0.0014772465811496087,0.9887658379959477
100,active_days_change,0.005114484685292774,0.14937496459707583,0.0014465381992132661,0.990212376195161
101,vle_week_clicks_oucollaborate,0.004340064832079538,0.0829399749400526,0.0012275077457399367,0.991439883940901
102,vle_week_clicks_dataplus,0.004274285861786013,0.15330944786733666,0.0012089033703063534,0.9926487873112073
103,vle_week_clicks_questionnaire,0.003909597449808805,0.0641271837424818,0.0011057579409628185,0.9937545452521701
104,vle_week_clicks_resource,0.0037021091002878833,0.06772570181591825,0.001047073666408862,0.994801618918579
105,vle_week_clicks_htmlactivity,0.00327105643324575,0.24385574029534748,0.0009251583245676324,0.9957267772431466
106,vle_has_record,0.003063336512308956,0.09132009524486777,0.0008664085542854613,0.9965931857974321
107,vle_week_clicks_glossary,0.0027246679343961864,0.10931812434902945,0.0007706223578319252,0.9973638081552639
108,unique_sites_change,0.0024306039415690757,0.11530264477269987,0.0006874517502708545,0.9980512599055348
109,vle_week_clicks_folder,0.0022263207644854783,0.12805297576088792,0.0006296739999614592,0.9986809339054963
110,gender,0.0019193815390097714,0.03152116104840959,0.0005428618689633336,0.9992237957744596
111,any_known_score_missing_count,0.0011944566249817074,0.05992950387216964,0.0003378301513558031,0.9995616259258154
112,assessment_missing_score_count,0.0010766463235545008,0.03908876417975227,0.00030450966810842227,0.9998661355939239
113,vle_week_clicks_ouelluminate,0.00021390586717021201,0.007790949785892953,6.0499351730845585e-05,0.9999266349456547
114,vle_week_clicks_sharedsubpage,0.00020483603976268486,0.008145880441743848,5.793411737928189e-05,0.999984569063034
115,late_registration_days,3.531235524905401e-05,0.0009573717007143646,9.987452092452917e-06,0.9999945565151265
116,date_registration_missing,1.6647372190371654e-05,0.00028719785550256413,4.708403929557318e-06,0.999999264919056
117,vle_week_clicks_repeatactivity,2.599005151616334e-06,0.00026528285544153254,7.350809442398166e-07,1.0000000000000002
118,registered_after_start,0.0,0.0,0.0,1.0000000000000002
119,imd_band_missing,0.0,0.0,0.0,1.0000000000000002
120,current_no_activity,0.0,0.0,0.0,1.0000000000000002
121,assessment_banked_due_count,0.0,0.0,0.0,1.0000000000000002
122,assessment_due_exam_count,0.0,0.0,0.0,1.0000000000000002
123,assessment_submitted_exam_count,0.0,0.0,0.0,1.0000000000000002
124,any_known_banked_count,0.0,0.0,0.0,1.0000000000000002
